#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-07-29T06:09:35 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-07-29T06:09:35	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=VII%2f155%2frc3&-out=name%2caltname%2cRA2000%2cDE2000%2cT%2cD25%2cR25%2cPA%2cBT%2cAe%2cm%27e&-out.max=unlimited&BT=%3c13.5&-sort=BT	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_7155
#Name: VII/155
#Title: Third Reference Cat. of Bright Galaxies (RC3) (de Vaucouleurs+ 1991)
#INFO	ivoid=ivo://cds.vizier/vii/155	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/vii/155	    IVOID of underlying data collection
#INFO	creator=de Vaucouleurs G.	    First author or institution
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/VII/155	    Dataset landing page
#INFO	publication_date=2002-08-09	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	B2000:	eq_FK4 B2000
#Table	VII_155_rc3:
#Name: VII/155/rc3
#Title: The revised RC3 catalog
#Column	name	(a12)	Name	[ucd=meta.id]
#Column	altname	(a15)	Alternate name	[ucd=meta.id]
#Column	RA2000	(A10)	Right Ascension 2000 (hours)	[ucd=pos.eq.ra;meta.main]
#Column	DE2000	(A9)	Declination 2000 (degrees)	[ucd=pos.eq.dec;meta.main]
#Column	T	(F4.1)	? T (Hubble stage)	[ucd=src.morph.type]
#Column	D25	(F5.2)	? Log D25	[ucd=phys.angSize;src]
#Column	R25	(F5.2)	? Log R25 (isophotal diameter ratio)	[ucd=phys.size;arith.ratio]
#Column	PA	(I3)	? Position angle of the major axis	[ucd=pos.posAng]
#Column	BT	(F5.2)	? BT (total B magnitude)	[ucd=phot.mag;em.opt.B]
#Column	Ae	(F5.2)	? Log Ae (effective aperture)	[ucd=instr.fov]
#Column	m'e	(F5.2)	? m'e	[ucd=phot.mag.sb]
name	altname	RA2000	DE2000	T	D25	R25	PA	BT	Ae	m'e
NGC  6548   	 UGC 11115     	18 05 59.1	+18 35 12	-2.0	 1.47	 0.02	   	12.73	 0.88	12.62
            	 ESO  105-  4  	19 32 25.1	-64 24 48	-3.5	 1.16	 0.10	136	12.73	 0.68	
NGC  2305   	 ESO   87- 44  	06 48 37.4	-64 16 24	-5.0	 1.31	 0.13	142	12.74	 0.82	12.33
NGC  2310   	 ESO  309-  7  	06 53 53.6	-40 51 44	-2.0	 1.64	 0.72	 47	12.74	 0.85	12.48
NGC  2654   	 UGC  4605     	08 49 12.5	+60 13 13	 2.0	 1.63	 0.73	 63	12.74	 1.02	13.33
NGC  2916   	 UGC  5103     	09 34 57.3	+21 42 21	 3.0	 1.39	 0.17	 20	12.74	 0.94	12.93
NGC  3872   	 UGC  6738     	11 45 49.0	+13 45 58	-5.0	 1.27	 0.20	   	12.74	 0.78	12.13
NGC  4653   	 UGC  7900     	12 43 50.9	-00 33 34	 6.0	 1.49	 0.06	 30	12.74	     	
NGC  5774   	 UGC  9576     	14 53 43.0	+03 34 55	 7.0	 1.48	 0.09	145	12.74	     	
NGC  7361   	 ESO  468- 23  	22 42 18.0	-30 03 29	 5.0	 1.58	 0.60	  4	12.74	     	
NGC  2328   	 ESO  309- 16  	07 02 36.7	-42 04 09	-2.9	 1.21	 0.11	115	12.75	     	
NGC  2712   	 UGC  4708     	08 59 31.2	+44 54 56	 3.0	 1.46	 0.26	178	12.75	 0.97	13.09
A   1335-09 	 MCG -2-35- 10 	13 38 10.2	-09 48 06	 8.8	 1.36	 0.07	   	12.75	 1.13	13.89
NGC  5529   	 UGC  9127     	14 15 34.1	+36 13 36	 5.0	 1.79	 0.87	115	12.75	 1.36	15.04
NGC  5915   	 MCG -2-39- 19 	15 21 33.1	-13 05 32	 2.0	 1.24	 0.14	130	12.75	 0.61	11.29
NGC  7404   	 ESO  346- 10  	22 54 18.7	-39 18 55	-2.5	 1.17	 0.24	  2	12.75	 0.71	
NGC  1452   	 ESO  549- 12  	03 45 22.0	-18 38 04	 0.4	 1.35	 0.18	113	12.76	 0.91	12.80
NGC  2983   	 ESO  566-  3  	09 43 40.8	-20 28 41	-1.0	 1.40	 0.23	 95	12.76	 0.80	12.25
            	 ESO  378- 20  	11 47 16.7	-37 33 04	-2.1	 1.11	 0.33	 29	12.76	     	
NGC  4377   	 UGC  7501     	12 25 12.5	+14 45 51	-3.0	 1.23	 0.09	177	12.76	 0.64	11.41
NGC  4516   	 UGC  7703     	12 33 07.8	+14 34 33	 2.0	 1.23	 0.25	  0	12.76	 0.80	
NGC   128   	 UGC   292     	00 29 15.0	+02 51 55	-2.0	 1.47	 0.52	  1	12.77	 0.76	12.06
NGC  1415   	 ESO  482- 33  	03 40 57.0	-22 33 49	 0.0	 1.54	 0.29	148	12.77	 0.97	12.77
NGC  1667   	 MCG -1-13- 13 	04 48 37.0	-06 19 13	 5.0	 1.25	 0.11	   	12.77	 0.79	12.21
NGC  1705   	 ESO  158- 13  	04 54 13.6	-53 21 44	-3.0	 1.28	 0.13	 50	12.77	 0.59	11.21
NGC  2770   	 UGC  4806     	09 09 33.3	+33 07 25	 5.0	 1.58	 0.52	148	12.77	 1.12	13.86
NGC  2887   	 ESO   91-  9  	09 23 24.1	-63 48 44	-3.0	 1.32	 0.14	 78	12.77	 0.87	12.61
NGC  3611   	 UGC  6305     	11 17 29.5	+04 33 17	 1.0	 1.32	 0.09	   	12.77	 0.78	12.16
NGC   862   	 ESO  298- 20  	02 13 02.9	-42 02 00	-5.0	 0.94	 0.03	   	12.78	 0.54	
NGC  1288   	 ESO  357- 13  	03 17 13.4	-32 34 33	 4.6	 1.36	 0.08	   	12.78	 1.04	13.47
NGC  2415   	 UGC  3930     	07 36 56.7	+35 14 33	10.0	 0.96	 0.00	   	12.78	     	
NGC  2968   	 UGC  5190     	09 43 12.0	+31 55 41	90.0	 1.36	 0.16	 45	12.78	     	
NGC  3052   	 ESO  566- 26  	09 54 28.0	-18 38 22	 5.0	 1.31	 0.19	102	12.78	 0.97	13.12
NGC  3067   	 UGC  5351     	09 58 22.0	+32 22 12	 2.0	 1.39	 0.42	105	12.78	 0.89	12.72
NGC  3108   	 ESO  435- 32  	10 02 29.5	-31 40 37	-1.0	 1.40	 0.14	110	12.78	 0.81	12.32
IC   2537   	 ESO  499- 39  	10 03 52.8	-27 34 16	 5.0	 1.41	 0.17	 26	12.78	 1.08	13.67
NGC  3549   	 UGC  6215     	11 10 56.6	+53 23 16	 5.0	 1.51	 0.44	 38	12.78	     	
NGC  3842   	 UGC  6704     	11 44 02.0	+19 57 01	-5.0	 1.15	 0.14	  5	12.78	 1.10	13.77
NGC  4307   	 UGC  7431     	12 22 05.2	+09 02 39	 3.0	 1.56	 0.67	 24	12.78	     	
NGC  5444   	 UGC  8974     	14 03 24.6	+35 07 56	-4.0	 1.38	 0.06	 90	12.78	 0.95	13.02
NGC  6166   	 UGC 10409     	16 28 38.4	+39 33 04	-4.0	 1.29	 0.14	 35	12.78	 1.20	14.24
NGC  7020   	 ESO  107- 13  	21 11 20.2	-64 01 31	-1.0	 1.57	 0.31	165	12.78	 1.10	13.57
IC   5240   	 ESO  290-  2  	22 41 52.5	-44 46 06	 1.0	 1.45	 0.17	100	12.78	 0.78	12.17
NGC  7454   	 UGC 12305     	23 01 06.7	+16 23 24	-5.0	 1.35	 0.15	150	12.78	 0.92	12.87
A   2327+40 	 UGC 12632     	23 29 58.7	+40 59 25	 9.0	 1.65	 0.08	   	12.78	 1.36	15.07
NGC   434   	 ESO  113- 23  	01 12 13.6	-58 14 48	 2.0	 1.33	 0.25	  6	12.79	 0.82	12.38
NGC   897   	 ESO  355-  7  	02 21 07.1	-33 43 17	 1.0	 1.33	 0.21	 17	12.79	 0.98	13.18
NGC   945   	 MCG -2- 7- 13 	02 28 37.3	-10 32 22	 4.5	 1.38	 0.08	 10	12.79	 1.08	13.68
A   0820+22 	 UGC  4375     	08 23 12.0	+22 39 00	 5.0	 1.39	 0.19	  0	12.79	     	
NGC  4045   	 UGC  7021     	12 02 42.0	+01 58 44	 1.0	 1.43	 0.16	 95	12.79	 0.89	12.73
NGC  4430   	 UGC  7566     	12 27 26.5	+06 15 47	 3.0	 1.36	 0.05	 80	12.79	     	
NGC  4462   	 ESO  506- 13  	12 29 21.2	-23 09 59	 2.0	 1.51	 0.42	124	12.79	 0.89	12.73
NGC  4498   	 UGC  7669     	12 31 39.9	+16 51 13	 6.5	 1.47	 0.27	133	12.79	     	
NGC  5506   	 MCG  0-36- 28 	14 13 14.9	-03 12 27	 1.0	 1.45	 0.52	 95	12.79	 1.09	13.73
NGC  5908   	 UGC  9805     	15 16 43.5	+55 24 40	 3.0	 1.51	 0.42	154	12.79	 0.98	13.13
NGC  6411   	 UGC 10916     	17 35 32.8	+60 48 52	-5.0	 1.36	 0.10	 70	12.79	 0.98	13.18
IC   4800   	 ESO  104- 25  	18 58 43.0	-63 08 20	 0.5	 1.25	 0.24	164	12.79	 0.82	
NGC  6893   	 ESO  234-  6  	20 20 49.5	-48 14 22	-2.0	 1.41	 0.18	 10	12.79	 0.71	11.83
A   0255-54 	 ESO  154- 23  	02 56 52.3	-54 34 23	 9.0	 1.93	 0.68	 39	12.80	 1.29	14.78
NGC  1417   	 MCG -1-10- 21 	03 41 57.3	-04 42 21	 3.0	 1.43	 0.21	 10	12.80	 0.93	12.94
NGC  1589   	 UGC  3065     	04 30 45.9	+00 51 50	 2.2	 1.50	 0.49	160	12.80	 1.01	13.34
NGC  2708   	 MCG  0-23- 15 	08 56 08.0	-03 21 39	 2.5	 1.42	 0.30	 25	12.80	 0.96	13.09
            	 ESO  373-  8  	09 33 20.8	-33 01 57	 6.0	 1.76	 0.82	 89	12.80	     	
NGC  4701   	 UGC  7975     	12 49 11.9	+03 23 25	 6.0	 1.44	 0.11	 45	12.80	     	
A   1249-41 	 ESO  323- 19  	12 52 03.7	-41 27 36	-3.9	 1.18	 0.36	112	12.80	 0.64	
NGC  4814   	 UGC  8051     	12 55 21.6	+58 20 53	 3.0	 1.49	 0.13	135	12.80	     	
A   1304+67 	 UGC  8201     	13 06 26.9	+67 42 15	10.0	 1.54	 0.26	   	12.80	 1.37	15.14
NGC  5105   	 MCG -2-34- 39 	13 21 49.3	-13 12 25	 5.0	 1.30	 0.13	   	12.80	 0.85	12.49
            	 ESO  384- 19  	13 57 39.8	-34 13 06	-1.6	 1.17	 0.08	   	12.80	 0.59	
NGC  5689   	 UGC  9399     	14 35 29.7	+48 44 35	 0.0	 1.54	 0.56	 85	12.80	     	
NGC  5688   	 ESO  272- 22  	14 39 35.2	-45 01 12	 4.7	 1.58	 0.19	 85	12.80	     	
NGC  6935   	 ESO  234- 59  	20 38 19.6	-52 06 34	 1.1	 1.30	 0.07	   	12.80	 0.91	12.84
NGC  7070   	 ESO  287- 28  	21 30 25.3	-43 05 12	 6.0	 1.37	 0.11	   	12.80	 1.06	13.58
NGC  7125   	 ESO  145- 17  	21 49 16.3	-60 42 43	 5.0	 1.49	 0.16	110	12.80	 1.33	14.39
NGC  7221   	 ESO  467- 18  	22 11 14.2	-30 33 47	 3.6	 1.31	 0.11	 10	12.80	 0.95	13.04
NGC  1461   	 MCG -3-10- 47 	03 48 27.1	-16 23 30	-2.0	 1.48	 0.51	   	12.81	 0.67	11.65
NGC  1573   	 UGC  3077     	04 35 02.3	+73 15 48	-5.0	 1.28	 0.16	 35	12.81	 1.04	13.50
NGC  2344   	 UGC  3734     	07 12 28.3	+47 10 01	 4.5	 1.23	 0.01	   	12.81	 1.05	13.55
NGC  2815   	 ESO  497- 32  	09 16 19.6	-23 38 04	 3.0	 1.54	 0.49	 10	12.81	 0.88	12.70
NGC  4032   	 UGC  6995     	12 00 33.0	+20 04 34	10.0	 1.27	 0.01	   	12.81	 0.85	12.55
A   1241-05 	 MCG -1-33-  1 	12 44 00.0	-05 40 00	 8.0	 1.51	 0.09	 47	12.81	 1.26	14.64
NGC   681   	 MCG -2- 5- 52 	01 49 10.9	-10 25 40	 2.0	 1.41	 0.20	 60	12.82	 0.92	12.88
NGC   701   	 MCG -2- 5- 60 	01 51 03.9	-09 42 14	 5.0	 1.39	 0.32	 40	12.82	 0.91	12.86
NGC  3599   	 UGC  6281     	11 15 27.3	+18 06 46	-2.0	 1.43	 0.10	   	12.82	 0.90	12.81
NGC  4206   	 UGC  7260     	12 15 16.6	+13 01 30	 4.0	 1.79	 0.72	  0	12.82	 1.23	14.50
NGC  5833   	 ESO   42-  3  	15 11 54.2	-72 51 31	 4.2	 1.49	 0.13	128	12.82	 0.93	12.96
NGC  6389   	 UGC 10893     	17 32 40.1	+16 24 12	 4.0	 1.45	 0.18	130	12.82	 1.11	13.86
NGC  6887   	 ESO  186- 27  	20 17 17.1	-52 47 48	 4.0	 1.53	 0.42	102	12.82	 1.09	13.76
NGC  7096   	 ESO  107- 46  	21 41 19.8	-63 54 38	 1.0	 1.27	 0.06	130	12.82	 0.82	12.41
NGC  7716   	 UGC 12702     	23 36 31.0	+00 17 50	 3.0	 1.33	 0.08	 35	12.82	 0.95	13.06
NGC  1892   	 ESO   85- 61  	05 17 08.1	-64 57 41	 6.0	 1.46	 0.55	 74	12.83	 0.95	13.07
NGC  1888   	 MCG -2-14- 13 	05 22 34.7	-11 29 58	 5.0	 1.48	 0.57	   	12.83	 0.95	13.07
NGC  2695   	 MCG  0-23- 10 	08 54 27.1	-03 04 03	-2.0	 1.23	 0.16	  0	12.83	 0.72	11.92
NGC  3200   	 ESO  567- 45  	10 18 36.5	-17 58 57	 4.5	 1.62	 0.51	169	12.83	 1.07	13.69
            	 ESO  376-  9  	10 42 02.0	-33 14 43	-2.0	 1.19	 0.56	127	12.83	     	
NGC  5153   	 ESO  444- 45  	13 27 54.7	-29 37 08	-5.0	 1.32	 0.17	175	12.83	 0.92	12.92
NGC  6574   	 UGC 11144     	18 11 50.7	+14 58 50	 4.0	 1.15	 0.11	160	12.83	 0.68	11.72
NGC  6770   	 ESO  141- 49  	19 18 37.6	-60 29 50	 3.0	 1.36	 0.14	 20	12.83	 0.85	12.93
NGC  7625   	 UGC 12529     	23 20 30.8	+17 13 41	 1.0	 1.20	 0.04	   	12.83	 0.69	11.77
NGC   697   	 UGC  1317     	01 51 17.3	+22 21 32	 4.7	 1.65	 0.48	105	12.84	 1.05	13.58
NGC  1140   	 MCG -2- 8- 19 	02 54 33.6	-10 01 37	10.0	 1.22	 0.26	 10	12.84	 0.46	10.63
NGC  1292   	 ESO  418-  1  	03 18 15.2	-27 36 40	 5.0	 1.47	 0.35	  7	12.84	     	
NGC  2417   	 ESO  123- 15  	07 30 11.7	-62 15 05	 4.4	 1.44	 0.16	 81	12.84	 1.14	14.03
NGC  2693   	 UGC  4674     	08 56 59.4	+51 20 51	-5.0	 1.42	 0.16	160	12.84	 0.83	12.48
IC   2597   	 ESO  501- 58  	10 37 47.7	-27 04 55	-4.0	 1.41	 0.15	  4	12.84	 0.85	12.58
A   1225+43 	 UGC  7577     	12 27 41.9	+43 29 38	10.0	 1.63	 0.25	130	12.84	 1.31	14.88
NGC  4489   	 UGC  7655     	12 30 52.3	+16 45 31	-5.0	 1.23	 0.04	   	12.84	 0.97	13.16
NGC  6106   	 UGC 10328     	16 18 47.3	+07 24 43	 5.0	 1.40	 0.26	140	12.84	 0.92	12.93
NGC    23   	 UGC    89     	00 09 53.6	+25 55 23	 1.0	 1.32	 0.19	  8	12.85	 0.68	11.74
NGC  3081   	 ESO  499- 31  	09 59 29.7	-22 49 30	 0.0	 1.32	 0.11	158	12.85	 0.91	12.91
NGC  3390   	 ESO  437- 62  	10 48 04.0	-31 31 57	 3.0	 1.55	 0.79	177	12.85	 1.03	13.49
NGC  5023   	 UGC  8286     	13 12 12.0	+44 02 19	 5.5	 1.78	 0.89	 28	12.85	 1.17	14.19
NGC  7166   	 ESO  288- 27  	22 00 32.8	-43 23 22	-3.0	 1.39	 0.43	 14	12.85	 0.59	11.29
NGC  7172   	 ESO  466- 38  	22 02 01.6	-31 52 07	 1.4	 1.39	 0.25	100	12.85	 1.01	13.28
            	 ESO  151- 12  	00 56 47.3	-53 05 53	-1.7	 1.16	 0.28	119	12.86	     	
NGC  1272   	 UGC  2662     	03 19 21.3	+41 29 32	-4.0	 1.31	 0.03	   	12.86	 1.28	14.68
NGC  1796   	 ESO  119- 30  	05 02 43.2	-61 08 21	 5.1	 1.27	 0.27	102	12.86	 0.85	12.60
NGC  2872   	 UGC  5018     	09 25 43.0	+11 25 56	-5.0	 1.32	 0.06	 22	12.86	 0.77	12.20
NGC  3124   	 ESO  567- 17  	10 06 39.7	-19 13 17	 4.0	 1.47	 0.07	165	12.86	 1.11	13.90
NGC  3271   	 ESO  375- 48  	10 30 26.6	-35 21 31	-2.0	 1.49	 0.23	106	12.86	 0.73	12.00
NGC  4183   	 UGC  7222     	12 13 17.6	+43 41 55	 6.0	 1.72	 0.83	166	12.86	 1.15	14.09
NGC  5653   	 UGC  9318     	14 30 10.4	+31 12 54	 3.0	 1.24	 0.13	125	12.86	     	
NGC  7154   	 ESO  404-  8  	21 55 21.2	-34 48 52	 9.0	 1.32	 0.12	102	12.86	 0.95	13.10
NGC  7168   	 ESO  237- 26  	22 02 07.2	-51 44 31	-5.0	 1.31	 0.13	 68	12.86	 0.78	12.25
NGC  2832   	 MCG  6-21- 15 	09 19 46.5	+33 45 02	-4.0	 1.37	 0.10	160	12.87	 0.93	13.01
NGC  4162   	 UGC  7193     	12 11 51.8	+24 07 24	 4.0	 1.37	 0.22	174	12.87	 0.85	12.61
NGC  4452   	 UGC  7601     	12 28 43.4	+11 45 21	-2.0	 1.44	 0.66	 32	12.87	 0.82	12.46
NGC  5257   	 UGC  8641     	13 39 53.0	+00 50 29	 3.0	 1.25	 0.28	 61	12.87	     	
NGC  7126   	 ESO  145- 18  	21 49 18.0	-60 36 31	 5.0	 1.45	 0.34	 80	12.87	 0.92	12.96
NGC  7744   	 ESO  292- 17  	23 44 59.3	-42 54 38	-2.7	 1.34	 0.10	105	12.87	 0.56	11.16
NGC   642   	 ESO  413- 14  	01 39 06.8	-29 54 54	 5.0	 1.31	 0.25	 31	12.88	 0.82	
NGC  4299   	 UGC  7414     	12 21 40.6	+11 30 15	 8.0	 1.24	 0.03	 26	12.88	     	
NGC  4539   	 UGC  7735     	12 34 35.0	+18 12 09	 0.5	 1.52	 0.39	 95	12.88	     	
NGC  4645   	 ESO  322- 66  	12 44 09.8	-41 45 01	-3.6	 1.35	 0.21	 52	12.88	 0.76	12.17
NGC  5135   	 ESO  444- 32  	13 25 44.5	-29 49 59	 2.0	 1.41	 0.15	   	12.88	 0.65	11.62
NGC  5389   	 UGC  8866     	13 56 07.5	+59 44 38	 0.0	 1.54	 0.56	  3	12.88	 0.81	12.42
NGC  5532   	 UGC  9137     	14 16 52.8	+10 48 24	-2.0	 1.20	 0.00	   	12.88	 0.89	12.82
            	 ESO  107-  4  	21 03 29.0	-67 10 49	-4.2	 1.21	 0.08	136	12.88	 0.82	12.47
A   2125-38 	 ESO  342- 50  	21 28 15.2	-37 51 42	 4.8	 1.35	 0.27	 19	12.88	 1.08	13.77
NGC  7171   	 MCG -2-56-  5 	22 01 02.0	-13 16 10	 3.0	 1.42	 0.23	125	12.88	 1.08	13.77
NGC   958   	 MCG -1- 7- 19 	02 30 42.9	-02 56 21	 4.5	 1.46	 0.46	 10	12.89	 0.92	12.98
NGC  1035   	 MCG -1- 7- 27 	02 39 29.3	-08 08 01	 5.0	 1.35	 0.48	150	12.89	     	
NGC  1507   	 UGC  2947     	04 04 27.3	-02 11 17	 9.0	 1.56	 0.63	 11	12.89	 1.01	13.43
NGC  3098   	 UGC  5397     	10 02 17.4	+24 42 37	-2.0	 1.36	 0.57	 90	12.89	 0.69	11.83
NGC  3244   	 ESO  317- 24  	10 25 29.3	-39 49 40	 6.0	 1.31	 0.13	170	12.89	 1.01	13.43
NGC  6754   	 ESO  231- 25  	19 11 25.7	-50 38 31	 3.0	 1.28	 0.31	 80	12.89	 0.99	13.33
IC   5063   	 ESO  187- 23  	20 52 02.1	-57 04 12	-0.8	 1.33	 0.17	116	12.89	 0.95	13.13
NGC   175   	 ESO  540-  6  	00 37 22.0	-19 56 12	 2.0	 1.33	 0.06	   	12.90	 0.98	13.29
IC   1625   	 ESO  243- 33  	01 07 42.3	-46 54 24	-3.3	 1.22	 0.13	  7	12.90	 1.12	14.01
NGC   467   	 UGC   848     	01 19 10.4	+03 18 03	-2.0	 1.23	 0.00	   	12.90	 1.04	13.55
NGC   680   	 UGC  1286     	01 49 47.4	+21 58 14	-4.0	 1.29	 0.08	   	12.90	 0.68	11.79
IC   1933   	 ESO  155- 25  	03 25 40.0	-52 47 02	 6.6	 1.35	 0.28	 55	12.90	 0.91	12.97
NGC  2320   	 UGC  3659     	07 05 41.5	+50 34 49	-5.0	 1.15	 0.24	140	12.90	 1.09	13.83
            	 ESO  428- 11  	07 15 31.2	-29 21 32	-3.0	 1.16	 0.08	   	12.90	 0.91	12.93
NGC  2554   	 UGC  4312     	08 17 53.6	+23 28 16	 0.0	 1.50	 0.13	   	12.90	     	
NGC  2633   	 UGC  4574     	08 48 06.6	+74 05 58	 3.0	 1.39	 0.20	175	12.90	 0.74	12.11
NGC  2732   	 UGC  4818     	09 13 25.0	+79 11 14	-2.0	 1.32	 0.42	 67	12.90	 0.67	11.69
NGC  2857   	 UGC  5000     	09 24 38.0	+49 21 20	 5.0	 1.35	 0.05	   	12.90	 1.19	14.31
IC   2531   	 ESO  435- 25  	09 59 55.7	-29 36 55	 5.3	 1.84	 1.09	 75	12.90	     	
            	 ESO  501- 51  	10 37 29.1	-26 19 00	 0.5	 1.43	 0.24	117	12.90	 1.03	13.54
NGC  3411   	 MCG -2-28- 12 	10 50 26.2	-12 50 44	-4.0	 1.32	 0.00	   	12.90	 0.97	13.28
NGC  3445   	 UGC  6021     	10 54 36.5	+56 59 28	 9.0	 1.21	 0.04	   	12.90	     	
NGC  3811   	 UGC  6650     	11 41 16.2	+47 41 35	 6.0	 1.34	 0.12	160	12.90	     	
NGC  4224   	 UGC  7292     	12 16 33.6	+07 27 40	 1.0	 1.41	 0.40	 57	12.90	 0.86	12.69
NGC  4233   	 UGC  7311     	12 17 06.6	+07 37 23	-1.5	 1.38	 0.34	174	12.90	 0.66	11.82
NGC  4561   	 UGC  7768     	12 36 08.6	+19 19 26	 8.0	 1.18	 0.07	 30	12.90	 0.98	13.34
IC   3896A  	 ESO  219-  8  	12 55 30.4	-50 04 15	 6.4	 1.34	 0.12	 12	12.90	 1.23	14.57
NGC  4861   	 UGC  8098     	12 59 02.4	+34 51 46	 9.0	 1.60	 0.43	 15	12.90	     	
            	 ESO  443- 24  	13 01 01.7	-32 26 20	-3.0	 1.27	 0.09	167	12.90	 0.89	12.85
            	 ESO  219- 41  	13 13 58.0	-49 28 47	 2.2	 1.45	 0.51	 80	12.90	 1.05	13.65
NGC  5326   	 UGC  8764     	13 50 50.8	+39 34 29	 1.0	 1.34	 0.30	137	12.90	     	
NGC  5673   	 UGC  9347     	14 31 30.9	+49 57 35	 5.3	 1.39	 0.59	136	12.90	     	
            	 ESO  273- 14  	14 58 25.8	-47 41 59	10.0	 1.58	 0.14	   	12.90	     	
NGC  6487   	 UGC 11022     	17 52 42.3	+29 50 17	-5.0	 1.28	 0.05	   	12.90	 1.15	14.17
            	 ESO  104-  7  	18 47 18.6	-63 21 39	    	 1.21	 0.30	 96	12.90	 0.54	
A   1930+54 	 UGC 11453     	19 31 08.3	+54 06 11	 3.0	 1.27	 0.12	 80	12.90	 1.26	14.69
NGC   835   	 MCG -2- 6- 31 	02 09 24.9	-10 08 09	 2.0	 1.10	 0.08	   	12.91	     	
NGC  1638   	 UGC  3133     	04 41 36.2	-01 48 32	-2.3	 1.30	 0.13	 70	12.91	 0.93	13.05
NGC  2206   	 ESO  489- 26  	06 15 59.2	-26 45 54	 4.3	 1.38	 0.28	138	12.91	 0.92	13.00
NGC  2665   	 ESO  563- 19  	08 46 01.3	-19 18 12	 1.3	 1.31	 0.13	144	12.91	 0.83	12.55
NGC  2634   	 UGC  4581     	08 48 25.1	+73 58 03	-5.0	 1.23	 0.02	   	12.91	 0.92	13.00
NGC  4411B  	 UGC  7546     	12 26 47.3	+08 53 02	 6.0	 1.40	 0.00	   	12.91	 1.18	14.32
NGC  4595   	 UGC  7826     	12 39 51.6	+15 17 55	 3.0	 1.24	 0.19	110	12.91	     	
NGC  5605   	 MCG -2-37-  3 	14 25 07.6	-13 09 47	 4.5	 1.21	 0.08	 85	12.91	 1.01	13.45
NGC  7267   	 ESO  405- 18  	22 24 22.2	-33 41 34	 1.0	 1.21	 0.08	  6	12.91	 0.78	12.30
NGC  7600   	 MCG -1-59- 19 	23 18 53.9	-07 34 50	-3.0	 1.40	 0.36	 70	12.91	 0.79	12.35
NGC   600   	 MCG -1- 5-  7 	01 33 05.5	-07 18 46	 6.5	 1.52	 0.07	   	12.92	 1.20	14.41
NGC  1382   	 ESO  358- 37  	03 37 08.5	-35 11 41	-2.7	 1.18	 0.06	   	12.92	 0.71	
NGC  2307   	 ESO   87- 45  	06 48 51.1	-64 20 01	 2.6	 1.24	 0.03	   	12.92	 1.06	13.71
NGC  2845   	 ESO  314- 10  	09 18 36.9	-38 00 41	 0.3	 1.30	 0.30	 67	12.92	 1.13	14.06
Leo A       	 UGC  5364     	09 59 18.0	+30 44 00	10.0	 1.71	 0.22	   	12.92	 1.52	16.01
IC    749   	 UGC  6962     	11 58 33.6	+42 44 10	 5.5	 1.37	 0.09	150	12.92	     	
NGC  4420   	 UGC  7549     	12 26 58.1	+02 29 39	 4.0	 1.31	 0.32	  8	12.92	     	
NGC  4507   	 ESO  322- 29  	12 35 37.1	-39 54 31	 3.0	 1.22	 0.10	   	12.92	 0.96	12.91
NGC  4625   	 UGC  7861     	12 41 53.0	+41 16 27	 9.0	 1.34	 0.06	   	12.92	     	
NGC  4771   	 UGC  8020     	12 53 21.9	+01 16 14	 7.0	 1.59	 0.67	133	12.92	     	
IC   4808   	 ESO  282-  3  	19 01 07.2	-45 18 50	 5.0	 1.29	 0.37	 45	12.92	 1.01	13.46
NGC  7307   	 ESO  345- 26  	22 33 52.5	-40 56 00	 5.6	 1.55	 0.60	  9	12.92	 1.13	14.06
NGC   493   	 UGC   914     	01 22 08.9	+00 56 50	 6.0	 1.53	 0.51	 58	12.93	 1.10	13.92
NGC   941   	 UGC  1954     	02 28 27.7	-01 09 06	 5.0	 1.42	 0.13	170	12.93	 1.06	13.72
NGC   955   	 UGC  1986     	02 30 33.6	-01 06 26	 1.8	 1.44	 0.59	 19	12.93	 0.71	11.97
NGC  1653   	 UGC  3153     	04 45 47.6	-02 23 29	-4.0	 1.17	 0.00	   	12.93	 0.83	12.57
NGC  2595   	 UGC  4422     	08 27 41.7	+21 28 43	 4.5	 1.50	 0.12	 45	12.93	 1.11	13.97
NGC  3733   	 UGC  6554     	11 35 01.8	+54 51 08	 6.0	 1.68	 0.34	170	12.93	 1.24	14.62
NGC  4128   	 UGC  7120     	12 08 32.6	+68 46 04	-2.0	 1.42	 0.48	 58	12.93	     	
NGC  4458   	 UGC  7610     	12 28 57.8	+13 14 35	-5.0	 1.24	 0.04	   	12.93	 0.94	12.99
